StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,vote2020,biden_approve_f_1,trump_approve_f_1,avg_f_1,optimism_f_1,unite_f_1,covid_f_1,attention_f,your_yard_f_1,neighbor_yard_f,biden_approve_nf_1,trump_approve_nf_1,avg_nf_1,optimism_nf_1,unite_nf_1,covid_nf_1,attention_nf,your_yard_nf_1,neighbor_yard_nf,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your prolific ID here:,Did you vote in the last US presidential election?,"On a scale of 0-10, how well do you think Joe Biden is handling his job as president? Use slider below. - 1","On a scale of 0-10, how well do you think Donald Trump handled his job as president? Use slider below. - 1","On a scale of 0-10, how much do you think Joe Biden cares about average Americans? Use slider below. - 1","On a scale of 0-10, how optimistic are you about the next four years with Joe Biden as president? Use slider below. - 1","On a scale of 0-10, Do you feel that President Biden is doing more to unite the country or to divide the country? Use slider below. - 1","On a scale of 0-10, how would you rate Joe Biden's response to the coronavirus? Use slider below. - 1","When asked for the current year you must enter 2021 in the text box below.

 

Based on the text you read above, what year have you been asked to enter?","If you flew an American flag in your yard, how likely is it that your neighbors would assume your political affiliation? Use slider below. - 1","If your neighbors flew an American flag in their yard, what would you assume their political affiliation to be?","On a scale of 0-10, how well do you think Joe Biden is handling his job as president? Use slider below. - 1","On a scale of 0-10, how well do you think Donald Trump handled his job as president? Use slider below. - 1","On a scale of 0-10, how much do you think Joe Biden cares about average Americans? Use slider below. - Strongly agree","On a scale of 0-10, how optimistic are you about the next four years with Joe Biden as president? Use slider below. - 1","On a scale of 0-10, Do you feel that President Biden is doing more to unite the country or to divide the country? Use slider below. - 1","On a scale of 0-10, how would you rate Joe Biden's response to the coronavirus? Use slider below. - 1","When asked for the current year you must enter 2021 in the text box below.

 

Based on the text you read above, what year have you been asked to enter?","If you flew an American flag in your yard, how likely is it that your neighbors would assume your political affiliation? Use slider below. - 1","If your neighbors flew an American flag in their yard, what would you assume their political affiliation to be?",PROLIFIC_PID
3/10/2021 21:27:26,3/10/2021 21:28:27,IP Address,174.243.115.72,100,60,True,3/10/2021 21:28:27,R_rkwIzc7VVelgohz,,,,,41.6244049072265625,-93.669403076171875,anonymous,EN,5de8918e93203f7fb20ce304,"Yes, for Biden",10,0,10,9,10,10,2021,9,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 21:28:36,3/10/2021 21:29:52,IP Address,50.90.4.129,100,75,True,3/10/2021 21:29:52,R_1mF84fiHM2572ak,,,,,39.7667999267578125,-86.40129852294921875,anonymous,EN,60480e9112056f0fec83bf29,"Yes, for Biden",,,,,,,,,,9,0,8,10,7,10,2021,8,They are more likely to support Republicans.,
3/10/2021 21:29:09,3/10/2021 21:31:01,IP Address,172.58.172.121,100,112,True,3/10/2021 21:31:02,R_2arWwyLNxM8dtJ1,,,,,28.3939056396484375,-81.421600341796875,anonymous,EN,5fd46a5faec6641dcf023bfd,"Yes, for Biden",7,2,6,8,9,8,2021,3,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 21:29:59,3/10/2021 21:31:02,IP Address,73.147.94.255,100,63,True,3/10/2021 21:31:03,R_2qmBC1iQKjQs8wd,,,,,38.27099609375,-77.54949951171875,anonymous,EN,5f6d36f879bdca1bad4cbb6f,"Yes, for Trump.",0,10,0,0,0,0,2021,7,They are equally likely to support Democrats or Republicans.,,,,,,,,,,
3/10/2021 21:30:07,3/10/2021 21:31:14,IP Address,108.16.3.75,100,67,True,3/10/2021 21:31:14,R_A0BT9xxhPGNoMdX,,,,,40.002105712890625,-75.27239990234375,anonymous,EN,5f49cee8633ed25444be0c92,"Yes, for Biden",,,,,,,,,,7,4,10,7,7,8,2021,8,They are more likely to support Republicans.,
3/10/2021 21:31:23,3/10/2021 21:32:32,IP Address,74.110.151.147,100,69,True,3/10/2021 21:32:32,R_3MGMzkgJD8PTEMP,,,,,37.563507080078125,-77.48380279541015625,anonymous,EN,5dd9923922749791b319fc19,"Yes, for Biden",10,0,10,10,10,10,2021,5,They are more likely to support Democrats.,,,,,,,,,,
3/10/2021 21:31:28,3/10/2021 21:32:55,IP Address,74.204.129.221,100,87,True,3/10/2021 21:32:56,R_23Ue75yWukXW0PG,,,,,39.0634002685546875,-96.78600311279296875,anonymous,EN,5f7251ac3be2a7178241a040,"Yes, for Trump.",0,10,0,0,0,0,2021,10,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 21:33:30,3/10/2021 21:34:51,IP Address,172.58.206.178,100,80,True,3/10/2021 21:34:51,R_OGNhLoy9lYRXHBn,,,,,39.9945068359375,-75.16480255126953125,anonymous,EN,5f8239eda08cb4367e704ba2,"Yes, for Biden",,,,,,,,,,5,3,4,5,5,7,2021,6,They are more likely to support Republicans.,
3/10/2021 21:33:59,3/10/2021 21:36:47,IP Address,73.83.21.104,100,167,True,3/10/2021 21:36:47,R_3e9OBqyQ7xlHgHa,,,,,47.6631011962890625,-122.3029022216796875,anonymous,EN,5da947c15854ba0011d3a88b,"Yes, for Biden",7,0,4,6,4,7,2021,0,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 21:35:31,3/10/2021 21:36:52,IP Address,108.233.86.106,100,81,True,3/10/2021 21:36:52,R_1GBn5xEmM3av2kI,,,,,37.770294189453125,-122.440704345703125,anonymous,EN,5f7779300a7c7d2c123a7209,"Yes, for Trump.",,,,,,,,,,1,9,0,2,0,5,2021,8,They are more likely to support Republicans.,
3/10/2021 21:36:07,3/10/2021 21:37:02,IP Address,73.71.155.225,100,54,True,3/10/2021 21:37:02,R_0xoz7WW31bwcuRz,,,,,37.3177032470703125,-122.04380035400390625,anonymous,EN,5d487f57a1cf350016cb3c76,"Yes, for Biden",,,,,,,,,,8,0,8,8,10,9,2021,3,They are more likely to support Democrats.,
3/10/2021 21:35:55,3/10/2021 21:37:11,IP Address,204.195.6.248,100,75,True,3/10/2021 21:37:11,R_OI7iEJxU0Fswpqx,,,,,45.3787994384765625,-122.22149658203125,anonymous,EN,5ffd0018a9b1461c9da4f0be,"Yes, for Biden",,,,,,,,,,6,0,8,6,9,10,2021,10,They are more likely to support Republicans.,
3/10/2021 21:39:03,3/10/2021 21:40:24,IP Address,71.182.229.212,100,81,True,3/10/2021 21:40:24,R_3psdtrwzkb6vez1,,,,,40.56719970703125,-79.97080230712890625,anonymous,EN,5e6813181f62c8000dd82fc7,"Yes, for Trump.",5,4,5,5,5,4,2021,2,They are equally likely to support Democrats or Republicans.,,,,,,,,,,
3/10/2021 21:40:17,3/10/2021 21:41:10,IP Address,67.161.182.167,100,52,True,3/10/2021 21:41:10,R_3hGCyFsRIWPSKKI,,,,,38.6974945068359375,-121.27140045166015625,anonymous,EN,5f1637cf9e2ee97acd002228,"Yes, for Biden",5,3,4,6,10,6,2021,9,They are equally likely to support Democrats or Republicans.,,,,,,,,,,
3/10/2021 21:40:15,3/10/2021 21:41:19,IP Address,73.20.72.139,100,63,True,3/10/2021 21:41:19,R_1Ehtc2VskL33pMo,,,,,41.1696014404296875,-111.9817962646484375,anonymous,EN,5ed96211a0b6c113426ef4bc,"Yes, for Biden",,,,,,,,,,9,0,10,8,10,10,2021,4,They are equally likely to support Democrats or Republicans.,
3/10/2021 21:37:15,3/10/2021 21:41:45,IP Address,47.183.25.31,100,270,True,3/10/2021 21:41:45,R_28GuAuNSAOqsAZQ,,,,,30.5478057861328125,-96.2714996337890625,anonymous,EN,5699cf0625d9e9000db0c789,"Yes, for Biden",8,0,9,7,8,9,2021,7,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 21:40:51,3/10/2021 21:41:48,IP Address,71.94.231.112,100,56,True,3/10/2021 21:41:48,R_qyD6qFdsm7VDykp,,,,,41.7816925048828125,-124.13320159912109375,anonymous,EN,5f1a001a3e85b20c99e43efb,"Yes, for Biden",0,0,2,0,4,5,2021,10,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 21:41:07,3/10/2021 21:42:00,IP Address,47.229.43.225,100,53,True,3/10/2021 21:42:01,R_1kS9bZddbPGkyW9,,,,,34.211395263671875,-118.230499267578125,anonymous,EN,5fbda458a0b7481e11b8028e,"Yes, for Biden",,,,,,,,,,7,1,9,7,8,6,2021,10,They are more likely to support Republicans.,
3/10/2021 21:41:14,3/10/2021 21:42:11,IP Address,172.58.207.39,100,57,True,3/10/2021 21:42:12,R_3h4oRZnCNGwq65w,,,,,40.0605926513671875,-75.144500732421875,anonymous,EN,5f490f05df39043f8ab7ca52,"Yes, for Biden",8,0,7,9,10,10,2021,8,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 21:41:01,3/10/2021 21:42:13,IP Address,159.250.77.95,100,71,True,3/10/2021 21:42:13,R_2YVPHYfABHmlv4L,,,,,37.8220977783203125,-77.18849945068359375,anonymous,EN,5fee2844d92c4a8fa09f940a,"Yes, for Trump.",,,,,,,,,,5,5,5,4,5,5,2021,5,They are more likely to support Republicans.,
3/10/2021 21:41:36,3/10/2021 21:42:27,IP Address,73.90.211.21,100,51,True,3/10/2021 21:42:28,R_2zj65bTqmadCvrI,,,,,38.5879058837890625,-121.405303955078125,anonymous,EN,5ec3884fa0c1ef0009b57549,"Yes, for Biden",,,,,,,,,,7,0,7,8,10,8,2021,4,They are equally likely to support Democrats or Republicans.,
3/10/2021 21:41:44,3/10/2021 21:42:41,IP Address,74.70.117.99,100,57,True,3/10/2021 21:42:41,R_x30BtNw6q7CkziF,,,,,42.727294921875,-73.6696014404296875,anonymous,EN,5f04ca4594097c7aa0afff6c,"Yes, for Biden",7,1,6,3,6,8,2021,9,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 21:41:37,3/10/2021 21:43:06,IP Address,24.29.74.26,100,89,True,3/10/2021 21:43:06,R_zU90EhdAJ47KMc9,,,,,42.640594482421875,-73.7906036376953125,anonymous,EN,57f0d96061e8340001877045,"Yes, for Biden",,,,,,,,,,8,0,8,8,9,9,2021,0,They are equally likely to support Democrats or Republicans.,
3/10/2021 21:42:50,3/10/2021 21:43:43,IP Address,68.108.167.209,100,53,True,3/10/2021 21:43:44,R_Rz9jUkEzG4166gp,,,,,36.038299560546875,-115.14459991455078125,anonymous,EN,5f41a03638c7fc364a4e3204,"Yes, for Trump.",,,,,,,,,,2,7,3,2,2,7,2021,10,They are more likely to support Republicans.,
3/10/2021 21:44:00,3/10/2021 21:45:09,IP Address,174.110.210.86,100,69,True,3/10/2021 21:45:10,R_27y9b07utcPZYF3,,,,,35.001007080078125,-78.93450164794921875,anonymous,EN,5ee551895cb6e20f96c7d44a,"Yes, for Trump.",7,8,4,7,4,4,2021,8,They are equally likely to support Democrats or Republicans.,,,,,,,,,,
3/10/2021 21:45:38,3/10/2021 21:47:01,IP Address,63.162.179.217,100,83,True,3/10/2021 21:47:01,R_QnNbq4ebzQygELf,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,5f1629ac3136a0181091b4c8,"Yes, for Trump.",,,,,,,,,,8,8,8,8,8,7,2021,5,They are equally likely to support Democrats or Republicans.,
3/10/2021 21:46:54,3/10/2021 21:47:37,IP Address,170.140.105.12,100,42,True,3/10/2021 21:47:37,R_2zMGdFL5GAFZzoq,,,,,33.794097900390625,-84.3249969482421875,anonymous,EN,5c566984e66e510001ee91a1,"Yes, for Biden",8,0,7,8,6,10,2021,7,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 21:47:03,3/10/2021 21:48:47,IP Address,23.241.217.126,100,103,True,3/10/2021 21:48:47,R_29aGqluNBbtWjf6,,,,,34.18670654296875,-118.3878021240234375,anonymous,EN,5fe2b802bf7c82ed02b7cd10,"Yes, for Trump.",8,6,8,8,8,7,current year 2021,8,They are equally likely to support Democrats or Republicans.,,,,,,,,,,
3/10/2021 21:45:13,3/10/2021 21:49:30,IP Address,104.187.48.191,100,257,True,3/10/2021 21:49:30,R_3e9XQ1v8Xpvn5Bn,,,,,33.8625030517578125,-117.58599853515625,anonymous,EN,5f7f7e054342aa132e2dbc58,"Yes, for Biden",,,,,,,,,,8,2,9,10,8,9,2021,0,They are more likely to support Republicans.,
3/10/2021 22:00:42,3/10/2021 22:02:28,IP Address,68.56.158.52,100,105,True,3/10/2021 22:02:28,R_1gA5vX2saNU9vce,,,,,42.6678009033203125,-83.2917022705078125,anonymous,EN,5bd4c1d09afb5b00015c5bdd,"Yes, for Trump.",3,6,6,2,3,4,2021,9,They are more likely to support Republicans.,,,,,,,,,,
3/10/2021 22:03:41,3/10/2021 22:07:37,IP Address,97.104.65.82,100,236,True,3/10/2021 22:07:38,R_33d292Eowe6OGef,,,,,28.021697998046875,-80.53949737548828125,anonymous,EN,6047c3a97961a5034e7c422f,"Yes, for Biden",,,,,,,,,,8,3,10,10,10,9,2021,7,They are equally likely to support Democrats or Republicans.,